Desc	Orthogroup	AmyTra	ArcPla	BomMor	DanPle	EupSim	GynQin	HelArm	LymMon	ManSex	OpeBru	OrgAnt	PluXyl	SpoLit	TriNi
(null)	OG0000235	3	2	2	1	3	5	4	4	3	5	1	1	5	3
(null)	OG0000236	4	16	2	2	2	4	1	1	3	2	1	2	1	1
(null)	OG0000237	1	3	2	2	2	2	3	2	7	2	2	9	3	2
(null)	OG0000238	1	3	3	9	2	2	3	1	3	6	1	1	5	2
(null)	OG0000239	1	8	0	0	1	1	1	1	2	16	1	6	3	1
(null)	OG0000240	0	8	2	0	1	5	4	0	2	1	1	14	0	4
(null)	OG0000241	0	15	0	0	3	6	1	10	0	0	3	0	2	2
(null)	OG0000242	0	4	0	0	3	3	6	2	5	0	3	2	10	4
(null)	OG0000243	0	0	40	2	0	0	0	0	0	0	0	0	0	0
(null)	OG0000244	0	0	1	1	16	0	0	9	0	0	15	0	0	0
(null)	OG0000245	0	0	3	0	2	2	4	2	4	2	3	1	8	11
(null)	OG0000246	4	4	3	2	2	1	1	3	1	7	2	4	4	3
(null)	OG0000247	4	2	3	3	2	3	3	3	4	3	2	3	3	3
(null)	OG0000248	5	2	0	1	15	3	0	1	0	6	3	0	5	0
(null)	OG0000249	3	2	0	0	2	3	4	3	3	3	2	2	13	1
(null)	OG0000250	3	3	1	2	2	3	3	6	3	2	3	3	3	4
(null)	OG0000251	1	0	1	2	0	1	4	15	0	0	4	2	4	7
(null)	OG0000252	1	2	1	2	1	2	7	2	3	3	1	9	4	3
(null)	OG0000253	2	5	2	1	2	12	3	4	1	0	4	1	3	1
(null)	OG0000254	0	5	11	0	1	10	1	1	0	0	5	0	5	2
(null)	OG0000255	0	0	16	0	10	1	1	2	0	0	2	2	7	0
(null)	OG0000256	2	7	1	2	4	8	1	4	1	1	5	1	1	2
(null)	OG0000257	1	0	2	1	7	0	0	2	5	0	1	16	3	2
(null)	OG0000258	3	3	3	3	3	2	4	3	3	3	3	1	3	3
(null)	OG0000259	3	4	2	2	3	2	2	3	2	5	5	3	2	2
(null)	OG0000260	2	5	5	2	2	2	4	2	3	2	3	1	4	3
(null)	OG0000261	2	9	5	1	1	1	2	4	2	1	1	1	8	2
(null)	OG0000262	1	4	2	3	1	7	2	5	2	2	1	3	4	3
(null)	OG0000263	3	3	3	4	2	2	2	1	4	4	3	4	2	3
(null)	OG0000264	2	2	0	3	3	2	3	4	3	2	4	2	5	5
(null)	OG0000265	2	5	2	3	2	3	2	4	3	6	2	2	2	2
(null)	OG0000266	2	3	0	4	3	6	3	3	3	2	3	3	2	3
